"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.660375253E2,1.357676697E-1,4.868026886E0,9.248966675E0
3.660475663E2,-1.291813660E0,3.898642731E0,9.363179169E0
3.660576063E2,-1.900597687E0,2.556383972E0,1.047386948E1
3.660676463E2,-1.364412689E0,3.221151581E0,9.601782990E0
3.660776863E2,-1.670526123E-1,4.114044800E0,9.006770325E0
3.660877263E2,-2.944377136E-1,3.417243805E0,1.113160172E1
3.660977663E2,-8.964857483E-1,2.097737732E0,1.268596939E1
3.661078073E2,-6.655160522E-1,3.009791107E0,1.003378464E1
3.661178473E2,1.713935852E-1,4.925207977E0,7.383845215E0
3.661278873E2,1.440454559E0,6.825805664E0,3.591481476E0
3.661379273E2,1.331630859E0,4.396806793E0,6.417005768E0
3.661479673E2,-3.604504395E-1,8.038284302E-1,1.020023849E1
3.661580073E2,-1.064137115E0,-8.553213501E-1,1.095826218E1
3.661680483E2,-1.201551361E0,1.844314728E0,9.649833069E0
3.661780883E2,-6.216572571E-1,5.128036194E0,9.019643555E0
3.661881283E2,3.583547974E-1,3.657494202E0,1.148262177E1
3.661981683E2,-4.023632813E-1,-6.035449219E-1,1.620170837E1
3.662082083E2,-1.387015686E0,-1.399439850E0,1.661679520E1
3.662182493E2,-1.167721710E0,3.787274323E0,1.173799072E1
3.662282893E2,3.863465881E-1,8.708141327E0,7.517966309E0
3.662383293E2,1.714833984E0,8.332722015E0,4.259542236E0
3.662483693E2,1.020877075E0,3.932771759E0,5.945635986E0
3.662584093E2,4.810995483E-1,9.392967224E-1,8.934320984E0
3.662684503E2,2.329156494E-1,2.384990387E0,1.185310135E1
3.662784903E2,-6.831793213E-1,4.891528015E0,1.375354935E1
3.662885303E2,-2.984793091E-1,4.733606415E0,1.072908875E1
3.662985703E2,-5.254074097E-2,2.412832489E0,1.043405228E1
3.663086103E2,4.516108704E-1,2.993924103E0,7.497758331E0
3.663186503E2,1.800755310E0,4.724026337E0,5.854625244E0
3.663286913E2,7.092251587E-1,5.181026001E0,6.786138153E0
3.663387313E2,-3.833528137E-1,2.978057098E0,8.035889282E0
